SN,t_exp,A_r,A_g,alpha_r,alpha_g,B_r,B_g,dt_exp,dA_r,dA_g,dalpha_r,dalpha_g,dB_r,dB_g
ZTF18abauprj,2458282.9715515445,150.69265730792878,157.8214730227568,1.8671936297364737,1.8971602796021334,-6.903354408458172,-4.474162657498314,0.04472609743142946,7.178749317848323,7.992538474363585,0.018919006888833446,0.02055000072049841,3.4952423435669053,2.8252023350901805
ZTF18abaxlpi,2458280.6091356506,18.221075770943276,19.37091806124864,1.7464319805798993,1.7077187790060109,0.149112293041178,7.457907057448364,0.31956357619611875,5.475731374746353,5.832865283157302,0.11575037008193623,0.11672520927381451,3.266509968561504,2.887894446768777
ZTF18abbpeqo,,,,,,,,,,,,,,
ZTF18abbvsiv,2458279.421080796,2.21019166873868,16.745681041504483,2.9102699397574603,1.7878301578177551,-7.375110059765117,5.477080027239288,6668138.271483917,27984949.34935714,132813235.63672188,5385180.43449983,3390926.8197403145,11.928119329521472,7.297653498975871
ZTF18abcecfi,2458282.222186219,6.37755098928578,3.1338999294772365,1.9417593151344166,2.2111525074501643,19.515006413492447,20.240847195283667,2.3908519617582287,13.676283765996704,7.557519912828472,0.7703572747068511,0.877015207355258,7.9651041067842945,11.6241477341468
ZTF18abcflnz,2458285.8651435273,12.206870650099075,7.294040241946511,2.4720084177856414,2.758673777346133,1.297656379724246,-2.839469818001579,0.19765041011647028,2.6498360137302686,1.803680798503019,0.07544330497201934,0.08697153474035146,3.262721433495812,3.067827642608322
ZTF18abckujg,2458283.3364012334,5.56298459178379,2.9645684942794364,2.0684869550694582,2.3871339878191864,-2.9988859725294206,3.843813490656433,0.8141094768748997,4.142357603961805,2.5335274928747027,0.2559992480523905,0.29338371254567874,3.1980679157931577,3.230536262420441
ZTF18abckujq,2458284.875871064,4.338298644311976,1.4613875067267157,2.395157749998438,2.9959962423193205,15.314706231581685,1.9908943835097885,2.060349323835788,9.021649534762371,3.731813487732399,0.7003330481725049,0.8532580530985663,8.244865114292658,8.52746049524981
ZTF18abcrxoj,2458289.1150815613,21.423764541071588,15.833696255361215,2.3227774003433717,2.4980845373967813,-9.532841710334866,-5.984529042953527,0.29916800117766595,8.005453500877746,7.045606056055345,0.14316021099602752,0.18394525391129887,3.3788613477338396,2.964854644544503
ZTF18abcsgvj,2458286.88696695,25.73009248115622,8.8656747076147,1.5229600877507898,2.063307302807482,-6.224493044166556,17.034908016524533,0.6892342904540045,16.602116187359737,7.396247717021418,0.2674758323841811,0.34124388155331853,4.261383054552308,2.6214813243284905
ZTF18abcysdx,2458290.113863282,33.69546836321333,26.60038862922655,1.280655054170965,1.430591187677608,31.082966458165696,10.62437660346898,0.36342132263110327,12.873601612203048,10.19077933504839,0.18761190968881447,0.17651216771993453,2.8296395690631533,2.6217444935254237
ZTF18abdbuty,2458291.064624796,34.92045352465086,34.7391701643133,1.3835957173623774,1.5194834972535605,-7.341076608289444,7.563488018408122,0.4899705946814079,16.611636960657894,18.029962858574432,0.21255235222233487,0.2375709561397398,3.697450275155888,2.652272614214399
ZTF18abdefet,2458287.247311476,0.5134154618539111,0.3680232971456671,2.877769855970267,2.9999999998646083,13.615630271705529,-3.931728236904618,2.904356257532258,1.6892812220501834,1.2747006051964371,1.075170595241303,1.137215431908657,7.23694562573121,7.28971020302364
ZTF18abdfazk,2458287.943529518,7.636408609820282,9.599931402635566,1.8224520181607777,1.7633312054006132,3.3098040658911994,4.173364792048623,0.8599359519164264,5.840313802425033,8.251112568457806,0.2813080347018747,0.33847700697633915,3.0760472767133265,2.967304192785773
ZTF18abdfwur,2458291.5417570164,28.351371118347743,15.260201091429986,1.2018722211191792,1.6430542360975227,21.032084381524378,7.77211715189138,0.45132478076449617,10.167023035018119,6.992610401068994,0.1491459519832205,0.18280407067884874,3.275509430606147,3.1897243486981925
ZTF18abdfydj,2458290.471792575,1.7128666044811902,2.6579817636468794,2.446687212193912,2.3541004613044874,-1.649202137852231,4.206088397595044,1.2095495487618253,2.0725610040901405,2.9737691467163203,0.40003824790625586,0.3656206523595714,2.725688159427941,2.5377863700146284
ZTF18abdkimx,2458294.5005740277,7.002817853906646,6.405062990477506,1.8864264681002512,1.9736627591564713,-3.6913525723151235,0.3640931066576087,1.4154283034247634,8.850695839096804,8.684915902021277,0.4478759670638128,0.5001044066031022,2.967996904347522,2.960926180704375
ZTF18abeecwe,2458302.1294780374,122.34274957289004,47.72327253108867,1.000760198519034,1.676810588750336,1.3147542350073496,9.884980699537975,0.26300246848183967,23.9357942454919,12.425580383027503,0.08884040453967332,0.1057034485775552,3.574388841806233,2.7746064871781373
ZTF18abeegsl,2458299.65108826,44.59293365945652,27.12356517989627,1.0000000120530446,1.3333534306567751,-5.426514192693092,-2.90053924104403,0.7634256732399298,32.62682047182962,23.03022627387353,0.4081936609226706,0.4617962230727116,2.5183240547572145,2.491114512362396
ZTF18abetehf,2458300.9849432576,3.6342502849905864,7.834963347776713,2.388497722968683,2.164681403956054,19.21226909034933,-9.232075649046443,0.9731306144869116,5.4227480108108175,8.686056585628538,0.6559079050320163,0.4190386079150609,4.295119849030389,3.1496707230141316
ZTF18abetewu,2458297.8207289334,0.6089951585063349,0.4542172245506581,2.871055183827513,2.9575728577671945,2.939689880601609,5.3910730390055015,1.9538469072329765,1.3853114461722047,1.0091772575831037,0.7616703719759587,0.7191860485970296,3.0254178040827915,2.732745813864228
ZTF18abfgygp,2458300.7442134414,0.9088168967311455,0.8970143057537853,2.7013077392716243,2.78649617220584,-3.4877425518677083,4.4456135181829435,0.7630275406311694,0.7230890381586549,0.7314800594670181,0.25793251186834676,0.26229568942114406,1.939766294887121,1.804940645915229
