,z,t0,x0,x1,c,MWebv,MWr_v,t0_err,x0_err,x1_err,c_err,ra,dec
ZTF18abwmuua,0.06424318,2458388.0899998853,0.0009318441626997932,-1.0273265990475098,-0.0058926175999799045,0.0202821714161223,3.1,0.2091686283238232,2.809168099535532e-05,0.2391073715586312,0.029728530044305878,249.6433024,31.8730194
ZTF18acrdwag,0.04191159538405788,2458454.011980001,0.0019319021785504644,0.2629067778084204,0.1324718964083676,0.01985744480386198,3.1,0.4517865173984319,0.00015206860804034688,0.4187898411495487,0.06123375094176857,206.0920538,14.3257647
ZTF18abnzocn,0.029980317338974254,2458361.17562156,0.00020947430340691582,-2.9926068696041646,1.0479433204480446,0.047833566729954216,3.1,0.15007272642105818,2.0946650329598786e-05,0.3129169966384907,0.07311842888389648,41.0296672,37.5242937
ZTF18adalgmc,0.03503196,2458467.711608439,0.0009608705142614196,-0.8325381376734381,0.3716341411536889,0.02930547621395051,3.1,1.3221368859522045,0.0002456687278084999,0.6555064409166633,0.15505573765724637,224.1279711,23.8336884
ZTF18acrgydk,0.07247815,2458453.263647351,0.000703328209061025,-1.077262598298827,-0.1405187910306422,0.01539483502873525,3.1,0.3910609327722341,0.000156892800118806,0.35528203524718344,0.1742669333301476,159.9544577,47.6009335
ZTF18adaylyq,0.05616242,2458490.195868309,0.0008431128203541614,-0.7502216942467874,0.14515584429237902,0.048635781269850034,3.1,0.21256904234178364,3.4455462182765416e-05,0.303002883728266,0.037189133981518456,127.3463239,26.5161989
ZTF18abmjvuf,0.0784,2458352.1104275635,0.0004098072982978461,-1.977077156370251,0.12143123606798811,0.01834869608276559,3.1,0.191240843385458,1.8768209529098167e-05,0.30285104438193017,0.04050970781560868,230.3097727,30.6366429
ZTF18abykswp,0.03594071648767805,2458399.381327849,0.0020053034447615626,-0.6215707617896274,0.147186512046936,0.0898242121571467,3.1,0.06451150076463819,6.526781471926977e-05,0.0682436200341212,0.029625640012409894,98.5452277,52.1298
ZTF18abdmgab,0.080282,2458311.937031863,0.0003021115762340285,-2.1488185695084057,0.09675810175449273,0.01873467413808041,3.1,0.13792011747136712,9.739539138898915e-06,0.24635224353791493,0.031101211095244337,250.9022405,33.5336009
ZTF18abiirfq,0.04990525,2458332.1632172405,0.0013819482902057035,-1.0521878157327647,-0.03199768246907317,0.012670706630575429,3.1,0.5740671574603766,6.959354802885604e-05,0.8144466320949539,0.046502272244360335,185.6534059,47.969264
ZTF18adazeua,0.09036711,2458488.5330037805,0.00038561609101642343,0.8238314689206518,0.18078116143160403,0.026294547904583607,3.1,0.5311524111311883,2.117221630193732e-05,0.8031679065383001,0.04949704922370241,150.5326868,19.1398945
ZTF18acbvgtu,0.0302473120070305,2458408.980670722,0.001582857518201481,-2.105198939001409,0.46219641953876234,0.02293033232320393,3.1,0.3830135727766901,0.0002669737514763863,0.31513569789139956,0.10712649337766815,40.6395606,-9.4682129
ZTF18acvwgdu,0.063394,2458479.5070047844,0.0007429394128496408,0.7394035601151079,0.25808248295776703,0.034869385723769644,3.1,0.13694631587713957,3.0262072724141622e-05,0.15842844847455714,0.0331665941084476,142.1853761,-5.7519405
ZTF18aarldnh,0.1077247,2458257.918766498,0.0002824993970293625,-0.35120989918757073,0.048126212227710644,0.012308128644608202,3.1,0.18869129056110978,1.016579033545586e-05,0.2266057580743527,0.035476654921768956,195.6554633,55.9257326
ZTF18acxbksd,0.023688859042749352,2458435.795484868,0.00138202598260091,0.4543166370493637,0.42739751570175244,0.022296785678235072,3.1,2.0250678062438965e-05,7.136671740766284e-05,0.3086734133935474,0.051565950169951,179.1128639,3.7700152
ZTF18adaruzw,0.035374,2458491.655345032,0.0026270448071781987,-2.375034901391068,-0.006969142124940876,0.3818058594180896,3.1,0.365520917577669,0.00012099198354688934,0.521735469158949,0.04704773901067958,66.1183715,10.8918738
ZTF18acdyypo,0.05016286,2458467.320258593,0.0016005586386420726,-0.7181765536340142,0.11622560026700132,0.047849350921000657,3.1,0.1955051172990352,6.433030546482378e-05,0.26896345297860264,0.03490751854387731,12.012874,16.0160523
ZTF18aakecej,0.06645045,2458231.7692578454,0.0007378024612504677,-1.7486728280847885,-0.03979701741922542,0.014624492910750547,3.1,0.07703551603481174,2.165961603480671e-05,0.08306958998200005,0.028422149001956415,203.7732764,53.8751981
ZTF18abbodly,0.01658821848315228,2458278.7657340225,0.00509541349736835,-0.7810415704750874,0.350922309812251,0.3572253924321288,3.1,0.2511966035235673,0.00017752347118345015,0.152356292188304,0.03392201580403184,331.4055978,44.8376581
ZTF18aaguhgb,0.12428789999999999,2458216.009182591,0.00039080587103184304,0.7943222064091243,0.0026044970231127807,0.012485122483680607,3.1,0.08623638283461332,1.3941965113751453e-05,0.12817042587125604,0.03511358900801205,219.4541978,45.5492765
ZTF18aaxnkos,0.06282137,2458283.5768384733,0.0008518378486457989,-0.39205202859826255,0.021566129461929536,0.008188828064422976,3.1,0.18745284085161984,2.6651357512957738e-05,0.24575175043022066,0.03040227250634385,156.527241,47.2742866
ZTF18aakaljn,0.06990957,2458233.659242757,0.0007797438654227713,1.480848325875274,0.214113871124325,0.021374548352455496,3.1,0.34900848427787423,4.213946505489035e-05,0.4285164687600089,0.04842414360074928,145.2943618,24.0224592
ZTF18abjvhec,0.0569001,2458340.763050613,0.0016443820113562376,0.6045360040635696,-0.05420329513763757,0.02046509363542659,3.1,0.10496466956101358,5.218999581368764e-05,0.15241459980326522,0.029870524614143974,226.3768342,30.9102552
ZTF18abqlpgq,0.09526871,2458367.1670444896,0.0005197829755660488,0.5385349204605538,-0.045401931153147466,0.06210109908915851,3.1,0.31816179025918245,1.834765541227055e-05,0.36135485346892576,0.036598129490685846,340.1028086,16.1907949
ZTF18aaylcvo,0.04446448,2458269.2676260155,0.000719765067112592,1.0321159798230568,0.33063408242875797,0.03548917053128675,3.1,0.2477871347218752,2.9228758019419337e-05,0.2259331611483146,0.035146613954440915,232.0434588,16.9291098
ZTF18aczdapb,0.04717155,2458474.4083527527,0.0006780446432187585,-5.2358708755092245,0.10214180276182558,0.02558584370152986,3.1,3.75712833320722,0.0009335211246767562,18.703697769412255,1.0782757783881538,138.2011134,27.1286177
ZTF18aaklpdo,0.04600617139652345,2458435.291769123,0.002085677390408755,-0.6270768580547911,-0.025059167423712475,0.01819382944756926,3.1,0.12770075513981283,6.383555135278687e-05,0.07918499623519959,0.02833120150343043,177.4508108,25.650646
ZTF18aahfzea,0.02435577,2458220.896977751,0.007201722720577075,0.05121125657973177,-0.08835685046586447,0.03215779534709022,3.1,0.1758091237861663,0.00028945471346174695,0.0973175442633841,0.03329473761427369,181.361107,20.299052
ZTF18abmxahs,0.01478627,2458363.362092514,0.017252649834893094,-0.16192956030012526,-0.014674244822473013,0.052158162936214905,3.1,0.12504419963806868,0.0006131293240667242,0.11029200331710491,0.031402054419159824,257.5465159,21.6490363
ZTF18aarymnz,0.022922,2458232.4279308263,0.006159855358264927,0.691015961307493,0.047974313492221,0.05534378310299472,3.1,0.13827499304898083,0.00019846252106156507,0.16579405711024067,0.03141358221215102,109.4830973,40.9854927
ZTF18aaqedfj,0.06232362,2458242.485621713,0.0011718635024141708,-0.7521852327507703,-0.05488936076933657,0.012584303249217447,3.1,0.15642645116895437,3.920844891771211e-05,0.14846888740342803,0.04559013956772169,206.3550403,26.4242373
ZTF18abetehf,0.06492737,2458318.609709055,0.0009879105628491744,-1.3969012331640802,-0.08516346980446433,0.022793366191469044,3.1,0.0632089062128216,2.94351665779269e-05,0.08084873093196204,0.02833276863109367,233.4871508,31.1698381
ZTF18aarbify,0.08116088,2458247.7853172654,0.0006379610254368382,-1.581388978581815,0.015114613538228046,0.024906345412191742,3.1,0.3826782323885709,2.3313724140799128e-05,0.38508856392871393,0.03627807378607471,155.0878001,29.4126372
ZTF18aaxcfbt,0.06811125,2458278.432537374,0.0010864312460449614,0.02617307905898593,-0.06257347836330394,0.010573580009561044,3.1,0.1483769272454083,3.206607966824818e-05,0.23436221593070228,0.028686233382076334,164.6128574,51.6957834
ZTF18aahfgsk,0.05376839,2458216.784541508,6.38515781663814e-06,-0.7307255937608176,3.891378181220426,0.02655183552461322,3.1,0.28733258275315166,1.7836571058408508e-06,0.11230533830621295,0.1907175826203188,181.2429244,32.3913761
ZTF18aaqfziz,0.05382606,2458246.021234234,0.0008762137108580473,-1.259023951482901,0.22672653586700547,0.033995681100644395,3.1,0.2716503313276917,3.3060165752630797e-05,0.14997680258728013,0.03795047493018472,224.7690719,19.5872461
ZTF18achbymb,0.1113673,2458439.4409767604,0.00023419583211612986,0.9462258360143531,0.22588523573411926,0.05057107201221213,3.1,0.43813655548729,9.770298109484714e-06,0.4042272181899916,0.04440753144046371,120.2214181,21.7664985
ZTF18abetejo,0.06337692,2458314.986117267,0.000664798883485854,-2.5658884763410903,0.0463946649536302,0.009176198830619172,3.1,0.2394469645805657,3.0227492598277443e-05,0.31615100412631497,0.04472214060723143,208.6439647,42.7746479
ZTF18abuhyjv,0.04711996,2458387.759210338,0.0025148747501079092,0.8587792737795829,-0.05695954072832724,0.029144852939475784,3.1,0.11017695860937238,8.492464448977232e-05,0.13756258670432564,0.030419379938966692,39.0652201,-1.1996554
ZTF18abqjurg,0.07931267,2458368.5845744945,0.000683190940778879,1.1136860891347748,-0.022948627911073487,0.012178530150531467,3.1,0.3595938633661717,2.6293770146835123e-05,0.551052390297443,0.046354744275868075,227.0176133,37.251526
ZTF18actuhrs,0.024971,2458464.4004550027,0.009642641209427255,9.636654891977184,-0.20924681320938604,0.04898440067511375,3.1,0.9483675276860595,0.0018448799031856597,1.7721005844221245,0.14477988767896388,206.6632819,-9.6433905
ZTF18abshtdj,0.06157759313337273,2458371.664717174,0.0006492063455719552,0.7533559268799538,0.1936102191182929,0.0317244959723729,3.1,0.11813531490042806,2.0027238610983436e-05,0.20004252074497106,0.028757508636725812,23.6731141,-5.6347918
ZTF18aaxdrjn,0.03391414,2458279.7260201178,0.0028023054449655975,-2.0477794695144818,-0.04669852269893107,0.01791231316938103,3.1,0.0697017686907202,8.719743491731326e-05,0.08620102457310641,0.029163495383760438,185.0069429,56.1588553
ZTF18aahpzhc,0.03821306,2458205.8714760556,0.0012662679794613742,-1.3811701560363048,0.27094083867436936,0.007027135230379891,3.1,0.5308271879330277,4.941747742215812e-05,0.22237963720251006,0.03996886533140609,153.2345353,46.4181067
ZTF18abdgwxn,0.0634603,2458306.714225465,0.0005733295498737994,-2.090985474423838,0.04314953935857947,0.04938498367693496,3.1,0.1067246834281832,1.710671266164607e-05,0.15593225877094039,0.028399930663890863,261.4228091,23.8691543
ZTF18acuefvt,0.07557197,2458468.701526479,0.0005831646599486546,0.99057735135733,0.13025801607977333,0.02976892507928782,3.1,0.2242194542195648,2.409822407367175e-05,0.24933686120384269,0.03731196988813717,150.6447444,25.0280098
ZTF18acbwasl,0.098,2458423.77645441,0.0004502705800927908,-0.7563855650678937,-0.02506401664281702,0.010540581887695622,3.1,0.44236492179334164,1.5826567082580974e-05,0.21654929063837075,0.031820531380256895,156.8748798,37.8744
ZTF18acsxusq,0.05601802,2458460.698992878,0.0011423741833115307,-0.6102620616496789,-0.011189952695143465,0.0487381948788627,3.1,0.4089118354022503,6.622104635957685e-05,0.3038623529949846,0.050793150897638986,18.3613348,14.4814914
ZTF18aarcypa,0.03203689,2458253.904186055,0.0010027031381556238,-2.82265263670628,0.13410202361630655,0.023252492624316272,3.1,0.2512089293450117,8.502626166531677e-05,0.28933417094167035,0.06663291795756957,167.4593252,28.9713801
ZTF18aaxxewy,0.07998238,2458283.6197148375,0.0006301437724801186,-0.21453413315661463,-0.060686729086697117,0.026830295711778293,3.1,0.15718313003890216,2.0489301166495063e-05,0.20438619149171403,0.031856009593512556,216.1892033,5.8398479
ZTF18aauworo,0.04981421,2458270.4660430714,0.0016486848118745935,0.022225765048106964,-0.04780326123748588,0.05128186444056848,3.1,0.1458154572173953,6.158857876208179e-05,0.15542369520759958,0.03323802771197794,239.6710004,21.120439
ZTF18aabxrjp,0.07917714,2458193.452469598,0.0006446098551172106,-0.7318629452200169,0.022443491923793878,0.02064023429221359,3.1,0.22234811657108366,4.175595346278278e-05,0.43371432864540876,0.053345843549085954,185.5432309,26.9945528
ZTF18abzbkby,0.02588561,2458402.137586928,0.00679012547694388,-0.08113241902914599,-0.005363903137950304,0.07972976601901899,3.1,0.13141224742867053,0.00026737372651449353,0.12454892797592598,0.035669843642778976,32.9094261,14.2023303
ZTF18aataafd,0.07699823,2458260.6354136425,0.000602712005109667,-0.9261282408493042,-0.0776938820268811,0.010826432408956812,3.1,0.11610335973091424,1.9887411539266726e-05,0.12018055904652865,0.03161024672197112,214.8372787,36.1721059
ZTF18acefgoc,0.02705388,2458404.625734583,0.001003965126205942,-0.3189579430854245,0.3722828510606864,0.05156541845487203,3.1,0.20267694210633636,5.4547499738153065e-05,0.2163986106762989,0.03806178035991175,123.9316847,58.3148369
ZTF18aawxlxf,0.08212955,2458276.9373596897,0.000641489269929487,0.01226493475691278,-0.012506930363476854,0.006360124969480677,3.1,0.19230809132568538,1.944041540001367e-05,0.2727984860752199,0.030143958148532594,165.5706164,58.2340242
ZTF18aasprui,0.03796067,2458348.2234704904,0.001818267313217798,-2.1034729031793744,0.0031741431212795744,0.014111992640115263,3.1,0.10107271955348551,5.40473097844298e-05,0.06290954934638816,0.02781528198334038,243.6406903,36.9433994
ZTF18acvwcig,0.1018985,2458468.828012375,0.0004061737526903017,-0.5199119806600041,0.02226456434457507,0.01152263543544273,3.1,1.192732963943854,1.8764505401074207e-05,0.6621583583290768,0.052537525989620935,212.7597327,54.5304271
ZTF18acnnxor,0.07868861,2458444.4778807503,0.0007906074105350153,-0.9446268874334341,-0.04106784314169483,0.03333626635610188,3.1,0.2983972786460072,3.0079363818174993e-05,0.2807494075314744,0.04154801907428693,175.3548612,10.3394125
ZTF18acafztq,0.07257641,2458397.38737535,0.0006628164318268452,0.9957076485330687,0.11567492846973194,0.03096282943532377,3.1,0.70537563203834,8.76764636732312e-05,0.9359461048284146,0.06636046423140675,132.3141386,21.5885352
ZTF18adathpb,0.031268,2458469.433167237,0.0010456409801086824,-2.932761245702655,0.16931634788670014,0.07452117125440687,3.1,0.7356246968265623,0.00017832107926788843,0.23963327522452152,0.11419773914851895,41.7313281,39.6009345
ZTF18ablqlzp,0.04157039474999621,2458350.110768135,0.0017532752416349498,0.16572000871683237,0.09785579718715873,0.02852902664480172,3.1,0.09324423340149224,5.390198053588068e-05,0.12019349682690648,0.02814996348942237,234.1332662,41.7998971
ZTF18abiinnl,0.02360828048024588,2458331.072879404,0.0066451030949242025,-0.06593882579303206,-0.013765519811216619,0.0761947723691984,3.1,0.08097714954055846,0.00021926589337166534,0.10104740419185865,0.03155890261040721,330.1737826,19.666136
ZTF18abcxyjp,0.04215854,2458305.3422816694,0.0015110382831605448,0.16581845557646024,0.06928668362496088,0.014449382339112788,3.1,0.12386596901342273,4.843415724432517e-05,0.1277451029868054,0.029946551545778907,214.5750325,28.9732905
ZTF18aawczad,0.06823571,2458267.2551085576,0.0006389548770919271,-0.3921888300151896,0.08460764519879088,0.008922871410946996,3.1,0.16983614629134536,1.9468359910380938e-05,0.13967457681083678,0.03194218211172756,194.5695074,27.7292852
