ID zcmb vpec
ZTF18aazgfkq 0.027935 -386.59
ZTF18aazhwnh 0.091170 0
ZTF18aazixbw 0.059487 0
ZTF18aazjztm 0.071910 0
ZTF18aazsabq 0.049559 -92.50
ZTF18aazxthg 0.045904 -163.69
ZTF18abadjhx 0.074877 0
ZTF18abaeawz 0.099667 0
ZTF18abakjgq 0.053019 0
ZTF18abatffv 0.140702 0
ZTF18abauprj 0.024101 271.98
ZTF18abaxlpi 0.063792 0
ZTF18abbpeqo 0.066939 0
ZTF18abbqjds 0.100003 0
ZTF18abbvsiv 0.050828 0
ZTF18abcdzyc 0.056135 0
ZTF18abcecfi 0.080063 0
ZTF18abcflnz 0.026800 -233.28
ZTF18abcicrq 0.106449 0
ZTF18abckujg 0.074402 0
ZTF18abckujq 0.064335 0
ZTF18abclalx 0.099953 0
ZTF18abclfee 0.028875 3.14
ZTF18abcpolh 0.035770 141.15
ZTF18abcrtnq 0.102456 0
ZTF18abcrxoj 0.031094 105.97
ZTF18abcryxz 0.065813 0
ZTF18abcrzfz 0.063052 0
ZTF18abcsgvj 0.059764 0
ZTF18abcvush 0.049976 -55.66
ZTF18abcxyjp 0.042852 -354.97
ZTF18abcyilc 0.060311 0
ZTF18abcysdx 0.066624 0
ZTF18abdbuty 0.059942 0
ZTF18abdcfgz 0.050108 0
ZTF18abddmrf 0.164472 0
ZTF18abddrhd 0.090214 0
ZTF18abdefet 0.079780 0
ZTF18abdfaqi 0.048865 -103.90
ZTF18abdfazk 0.090556 0
ZTF18abdfwur 0.069974 0
ZTF18abdfydj 0.069893 0
ZTF18abdgwxn 0.063322 0
ZTF18abdhsfc 0.066844 0
ZTF18abdiqdh 0.039100 -223.06
ZTF18abdiwpt 0.070285 0
ZTF18abdkimx 0.079974 0
ZTF18abdmgab 0.080327 0
ZTF18abdpvnd 0.048803 -163.05
ZTF18abdrbok 0.140834 0
ZTF18abdrmin 0.051737 0
ZTF18abeaipj 0.079924 0
ZTF18abealop 0.066677 0
ZTF18abebzog 0.039352 -203.44
ZTF18abeecwe 0.039030 17.30
ZTF18abeegsl 0.069482 0
ZTF18abespgb 0.050766 0
ZTF18abetehf 0.065307 0
ZTF18abetejo 0.063996 0
ZTF18abetewu 0.080483 0
ZTF18abfdupq 0.067500 0
ZTF18abfgygp 0.069654 0
ZTF18abfhaji 0.101383 0
ZTF18abfhryc 0.031978 -186.23
ZTF18abfwuwn 0.100019 0
ZTF18abfzkno 0.089923 0
ZTF18abgkjff 0.045520 9.54
ZTF18abgledy 0.070437 0
ZTF18abgmcmv 0.018201 -132.08
ZTF18abgosbg 0.079713 0
ZTF18abgqkpc 0.108601 0
ZTF18abgxvra 0.099745 0
ZTF18abhpgje 0.133589 0
ZTF18abhpzig 0.012083 -128.71
ZTF18abhqdpv 0.076729 0
ZTF18abhxidv 0.069568 0
ZTF18abiinnl 0.022430 -162.78
ZTF18abiirfq 0.050612 0
ZTF18abilofa 0.068715 0
ZTF18abimsyv 0.079643 0
ZTF18abixjey 0.120370 0
ZTF18abixkdo 0.030580 486.91
ZTF18abixkjh 0.070424 0
ZTF18abiybfq 0.031269 -224.33
ZTF18abjdjge 0.130422 0
ZTF18abjgyyr 0.048975 44.62
ZTF18abjqmqt 0.049483 -114.40
ZTF18abjrfqx 0.038765 -76.50
ZTF18abjrznx 0.024695 491.26
ZTF18abjstcm 0.078636 0
ZTF18abjtgdo 0.074118 0
ZTF18abjtger 0.106071 0
ZTF18abjvhec 0.057401 0
ZTF18abjvzxx 0.050687 0
ZTF18abjwahi 0.100315 0
ZTF18abjyime 0.070421 0
ZTF18abkhbra 0.040680 -54.54
ZTF18abkhcrj 0.038191 -217.01
ZTF18abkhcwl 0.031968 322.18
